iter	Passed	Remaining
0	132	13099
1	132	6509
2	133	4310
3	133	3210
4	134	2549
5	134	2109
6	135	1794
7	135	1557
8	135	1373
9	136	1226
10	136	1105
11	136	1004
12	137	919
13	137	846
14	138	783
15	138	728
16	139	679
17	139	636
18	140	598
19	141	564
20	141	533
21	142	504
22	142	477
23	143	453
24	143	430
25	144	409
26	144	391
27	145	374
28	146	357
29	146	342
30	147	327
31	147	313
32	148	300
33	148	288
34	149	276
35	149	265
36	149	255
37	150	245
38	150	235
39	151	226
40	151	218
41	152	210
42	152	202
43	152	194
44	153	188
45	154	181
46	155	174
47	155	168
48	156	162
49	156	156
50	157	151
51	157	145
52	157	140
53	158	134
54	158	129
55	159	125
56	159	120
57	160	115
58	160	111
59	161	107
60	161	103
61	161	99
62	162	95
63	162	91
64	163	87
65	163	84
66	164	80
67	164	77
68	165	74
69	165	71
70	166	67
71	167	64
72	167	61
73	168	59
74	168	56
75	168	53
76	169	50
77	169	47
78	170	45
79	170	42
80	171	40
81	171	37
82	172	35
83	172	32
84	173	30
85	173	28
86	174	26
87	174	23
88	174	21
89	175	19
90	175	17
91	176	15
92	176	13
93	176	11
94	177	9
95	177	7
96	178	5
97	178	3
98	179	1
99	179	0
