iter	RMSE
0	14.83860646
1	14.46798664
2	14.11115933
3	13.75244798
4	13.41585735
5	13.11761548
6	12.82459416
7	12.54898357
8	12.28144489
9	11.97893627
10	11.70081895
11	11.46362929
12	11.24112046
13	11.00836641
14	10.77033374
15	10.53295485
16	10.32284819
17	10.12352432
18	9.911480323
19	9.723392401
20	9.562205985
21	9.388045144
22	9.227549602
23	9.06214203
24	8.902966811
25	8.764546873
26	8.615752676
27	8.470581111
28	8.335774049
29	8.209880041
30	8.101580142
31	7.965643261
32	7.855556811
33	7.750553839
34	7.637762265
35	7.541760396
36	7.433098512
37	7.344673848
38	7.259110139
39	7.173123632
40	7.088142763
41	7.015435149
42	6.943816301
43	6.875236828
44	6.806844079
45	6.744352021
46	6.67888003
47	6.621270856
48	6.557054414
49	6.502645158
50	6.446624154
51	6.388698487
52	6.341437963
53	6.291022761
54	6.245839306
55	6.196492838
56	6.151128104
57	6.108544455
58	6.069237192
59	6.035412429
60	6.002671488
61	5.971678632
62	5.939274611
63	5.904595762
64	5.875786417
65	5.845626527
66	5.816001171
67	5.787982337
68	5.765183298
69	5.739455015
70	5.715398492
71	5.693369626
72	5.670231264
73	5.646265526
74	5.624253951
75	5.601641803
76	5.582997313
77	5.565991507
78	5.544293682
79	5.524265104
80	5.512440291
81	5.489753863
82	5.474194196
83	5.463053775
84	5.455686629
85	5.439939047
86	5.426239348
87	5.416307577
88	5.401142313
89	5.38917813
90	5.371437794
91	5.363515842
92	5.354196999
93	5.345221072
94	5.334493247
95	5.320407155
96	5.30951362
97	5.298631463
98	5.288828552
99	5.274673301
100	5.266104397
101	5.2544979
102	5.245171319
103	5.236524717
104	5.22725025
105	5.21808382
106	5.206414434
107	5.195677458
108	5.187160772
109	5.181632454
110	5.17404795
111	5.167224823
112	5.162842372
113	5.157316368
114	5.150436301
115	5.140714684
116	5.133777871
117	5.130857364
118	5.123467389
119	5.114807033
120	5.110461759
121	5.106892815
122	5.10089131
123	5.094556616
124	5.089870553
125	5.082848874
126	5.074540806
127	5.06496385
128	5.06006744
129	5.056047923
130	5.048772194
131	5.04351994
132	5.03645764
133	5.030041571
134	5.025109354
135	5.020925535
136	5.012916871
137	5.007749131
138	5.001327023
139	4.997118545
140	4.991296125
141	4.98683506
142	4.986223782
143	4.980785744
144	4.974453375
145	4.967976144
146	4.965844113
147	4.963602668
148	4.958276708
149	4.952035717
150	4.946949572
151	4.944224002
152	4.938929005
153	4.93215157
154	4.927505404
155	4.923248996
156	4.921062363
157	4.916280601
158	4.913132584
159	4.90736117
160	4.905906599
161	4.901666109
162	4.894088446
163	4.88956577
164	4.885665729
165	4.878718784
166	4.872521936
167	4.866828606
168	4.859894102
169	4.856120296
170	4.849959996
171	4.846535002
172	4.842289451
173	4.83925296
174	4.836775504
175	4.834146787
176	4.828425567
177	4.82368072
178	4.819007923
179	4.817000798
180	4.810405953
181	4.805147406
182	4.800187779
183	4.798269338
184	4.795859138
185	4.791663959
186	4.79142656
187	4.786921267
188	4.78554094
189	4.783546058
190	4.77699532
191	4.77478981
192	4.772061206
193	4.769016728
194	4.767605027
195	4.765282156
196	4.762623687
197	4.759440604
198	4.754200252
199	4.744583629
200	4.738900984
201	4.733702755
202	4.732647532
203	4.730318157
204	4.727956534
205	4.724223642
206	4.719844184
207	4.713642399
208	4.711316359
209	4.704202502
210	4.701654748
211	4.698517617
212	4.692720113
213	4.689715146
214	4.684329181
215	4.680709614
216	4.677096725
217	4.671251478
218	4.663608993
219	4.660751776
220	4.654452651
221	4.650319727
222	4.648503013
223	4.64349352
224	4.642615319
225	4.638830419
226	4.633264181
227	4.631760899
228	4.626170948
229	4.625478121
230	4.622676998
231	4.621511843
232	4.616173391
233	4.613122417
234	4.608089142
235	4.6064021
236	4.60367817
237	4.601290201
238	4.599120199
239	4.594575793
240	4.591185198
241	4.586295068
242	4.579821237
243	4.577509238
244	4.576508494
245	4.57527221
246	4.570876105
247	4.567382915
248	4.561188087
249	4.556885832
250	4.55448456
251	4.549885657
252	4.544067931
253	4.542110306
254	4.538584833
255	4.536368057
256	4.532470609
257	4.530714748
258	4.528119257
259	4.526961382
260	4.524629227
261	4.518677838
262	4.512789832
263	4.507837847
264	4.504003635
265	4.501180605
266	4.496438061
267	4.495740537
268	4.488675119
269	4.483307607
270	4.479327619
271	4.478457447
272	4.474575147
273	4.470086844
274	4.46903625
275	4.461625864
276	4.458634782
277	4.455903678
278	4.455221497
279	4.451752566
280	4.447929638
281	4.443314145
282	4.442578717
283	4.442234281
284	4.441486716
285	4.438526933
286	4.43428708
287	4.431895229
288	4.429468382
289	4.42874731
290	4.425123173
291	4.418626783
292	4.412299228
293	4.407437319
294	4.404713251
295	4.400100577
296	4.394767229
297	4.391825035
298	4.386167616
299	4.383729745
300	4.380694187
301	4.376863998
302	4.371427357
303	4.36694765
304	4.363462998
305	4.362293145
306	4.361010379
307	4.356700387
308	4.350803217
309	4.350087655
310	4.348427541
311	4.347606081
312	4.342616184
313	4.341931613
314	4.33676
315	4.335797389
316	4.330764635
317	4.327929132
318	4.327000041
319	4.326292855
320	4.320764364
321	4.319876788
322	4.317668367
323	4.315579023
324	4.314891335
325	4.311840943
326	4.311151927
327	4.307211115
328	4.304492243
329	4.303914743
330	4.298537944
331	4.294612572
332	4.292516353
333	4.287225085
334	4.2838215
335	4.283225276
336	4.280810374
337	4.27709258
338	4.274431424
339	4.269370986
340	4.263893011
341	4.263339053
342	4.262187366
343	4.261765793
344	4.256891087
345	4.252940792
346	4.250953856
347	4.249158711
348	4.244408836
349	4.239710055
350	4.239354491
351	4.235153533
352	4.234763986
353	4.230618605
354	4.225386329
355	4.224983458
356	4.224428951
357	4.222431298
358	4.219023539
359	4.214329089
360	4.20895387
361	4.208230323
362	4.20688226
363	4.202617622
364	4.199067767
365	4.192350539
366	4.19009245
367	4.185325389
368	4.17999212
369	4.176496674
370	4.174742551
371	4.169354413
372	4.168224567
373	4.163353024
374	4.158558189
375	4.154930224
376	4.150067223
377	4.146771281
378	4.144544908
379	4.142207241
380	4.141865569
381	4.140003649
382	4.135651007
383	4.133061651
384	4.129688892
385	4.12454302
386	4.12145252
387	4.119361347
388	4.117485037
389	4.113485064
390	4.111223371
391	4.107327085
392	4.10461132
393	4.100678692
394	4.096115045
395	4.091728913
396	4.087191843
397	4.084708379
398	4.080197838
399	4.076664498
400	4.076298699
401	4.073255931
402	4.07250027
403	4.067000607
404	4.064325165
405	4.063447887
406	4.059051231
407	4.055119414
408	4.054540237
409	4.053282131
410	4.052750641
411	4.047435825
412	4.047087737
413	4.046099568
414	4.045037373
415	4.042895378
416	4.042455741
417	4.042029933
418	4.03913715
419	4.036803675
420	4.036128178
421	4.032351686
422	4.030276938
423	4.026453139
424	4.022096961
425	4.020636984
426	4.01945113
427	4.012949345
428	4.010131484
429	4.006744389
430	4.002980867
431	4.001280065
432	3.995758719
433	3.991350585
434	3.988654818
435	3.984365415
436	3.984062426
437	3.981678777
438	3.977284535
439	3.974635555
440	3.970548093
441	3.966137507
442	3.962229869
443	3.958825396
444	3.954870416
445	3.95174688
446	3.950811326
447	3.949443197
448	3.947777315
449	3.947086822
450	3.945564111
451	3.941580676
452	3.940327405
453	3.940094198
454	3.93744978
455	3.932426567
456	3.928979413
457	3.926104429
458	3.925788683
459	3.923660928
460	3.919964271
461	3.91970753
462	3.91824587
463	3.915713867
464	3.914011919
465	3.912077033
466	3.907484967
467	3.903365323
468	3.901555136
469	3.901235528
470	3.898408099
471	3.894290088
472	3.893753734
473	3.89255811
474	3.889622312
475	3.889213664
476	3.886472268
477	3.882930588
478	3.879939481
479	3.875922252
480	3.872659368
481	3.872452809
482	3.868329449
483	3.86807394
484	3.865396746
485	3.86190841
486	3.859181925
487	3.855737728
488	3.855153682
489	3.853164789
490	3.849360512
491	3.845248942
492	3.843061371
493	3.842154736
494	3.837821509
495	3.833817874
496	3.831706951
497	3.827369859
498	3.823916873
499	3.821420732
500	3.817441225
501	3.81413415
502	3.81164097
503	3.807403797
504	3.805093152
505	3.802174594
506	3.80070825
507	3.79667123
508	3.793518065
509	3.792997054
510	3.789983255
511	3.78803535
512	3.784360118
513	3.779530931
514	3.777413949
515	3.773622132
516	3.769108498
517	3.76584418
518	3.763831004
519	3.758726676
520	3.755314757
521	3.752544485
522	3.748892798
523	3.746897373
524	3.743393408
525	3.739690275
526	3.738975227
527	3.735564229
528	3.733950237
529	3.732124396
530	3.728848488
531	3.725726416
532	3.724730696
533	3.722643602
534	3.721103193
535	3.717536582
536	3.715642077
537	3.715016023
538	3.71269203
539	3.709355308
540	3.70726344
541	3.704200422
542	3.703995097
543	3.703622424
544	3.700822876
545	3.699489197
546	3.695775948
547	3.692697662
548	3.692508562
549	3.688920817
550	3.686695212
551	3.681911082
552	3.678700899
553	3.678008297
554	3.676244917
555	3.67319179
556	3.672795043
557	3.670868213
558	3.669709579
559	3.666824126
560	3.664822205
561	3.664069912
562	3.661785717
563	3.659114689
564	3.658112746
565	3.654741763
566	3.651706221
567	3.648858841
568	3.647026227
569	3.645155665
570	3.641200914
571	3.637397154
572	3.635113716
573	3.632328931
574	3.630134316
575	3.628331577
576	3.626493811
577	3.62310449
578	3.619923447
579	3.617806226
580	3.617606303
581	3.615177867
582	3.610678511
583	3.609938665
584	3.607531247
585	3.604847079
586	3.603041076
587	3.600002834
588	3.596765608
589	3.595707854
590	3.592518072
591	3.59005628
592	3.587988686
593	3.586220049
594	3.583594054
595	3.580658402
596	3.576492395
597	3.573660653
598	3.571316455
599	3.57064504
600	3.567534457
601	3.564555131
602	3.560840815
603	3.557561434
604	3.556026954
605	3.553308509
606	3.551420169
607	3.549886197
608	3.546154306
609	3.5434132
610	3.540508149
611	3.537618296
612	3.536102298
613	3.533727275
614	3.531550058
615	3.52853388
616	3.52648104
617	3.524452935
618	3.522275701
619	3.519984458
620	3.51965446
621	3.516635601
622	3.51090593
623	3.509895706
624	3.507040961
625	3.502820698
626	3.502314574
627	3.500539791
628	3.498582289
629	3.495739822
630	3.495133037
631	3.494945505
632	3.490911801
633	3.490700492
634	3.487663928
635	3.48732951
636	3.485507765
637	3.482905353
638	3.479915399
639	3.479104708
640	3.477855448
641	3.474967199
642	3.47416324
643	3.473070683
644	3.472921574
645	3.470791352
646	3.466737485
647	3.464140609
648	3.461963327
649	3.461377082
650	3.458650273
